kind,area,id,npc,zone,elapsed,entities,found,why
quest,sandoria,78,Secodiand,231,0.3,0,0,"Secodiand is not loaded here (0 entities, nearest none)"
quest,sandoria,78,Secodiand,231,8.6,0,0,"Secodiand is not loaded here (0 entities, nearest none)"
quest,sandoria,78,Secodiand,231,16.9,35,1,found Secodiand at 1.1 yalms
quest,sandoria,1,Miageau,231,0.3,0,0,"Miageau is not loaded here (0 entities, nearest none)"
quest,sandoria,1,Miageau,231,8.6,0,0,"Miageau is not loaded here (0 entities, nearest none)"
quest,sandoria,1,Miageau,231,16.9,30,1,found Miageau at 1.5 yalms
quest,sandoria,30,Abeaule,231,0.3,,0,not in the world
quest,sandoria,30,Abeaule,231,8.6,0,0,"Abeaule is not loaded here (0 entities, nearest none)"
quest,sandoria,30,Abeaule,231,16.9,23,1,found Abeaule at 2.6 yalms
quest,wotg,15,Louxiard,80,0.3,0,0,"Louxiard is not loaded here (0 entities, nearest none)"
quest,wotg,15,Louxiard,80,8.6,7,1,found Louxiard at 19.0 yalms
quest,wotg,16,Rholont,80,0.3,,0,not in the world
quest,wotg,16,Rholont,80,8.6,0,0,"Rholont is not loaded here (0 entities, nearest none)"
quest,wotg,16,Rholont,80,16.9,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,25.6,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,33.9,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,42.2,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,50.5,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,58.8,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,67.1,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,75.4,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,83.7,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,92.1,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,100.4,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,108.7,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,117.0,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,125.3,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,133.9,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,142.2,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,150.5,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,158.9,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,167.2,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,175.5,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,183.8,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,192.1,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,200.4,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,208.7,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,217.0,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,225.3,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
quest,wotg,16,Rholont,80,233.6,6,0,"Rholont is not loaded here (6 entities, nearest Well)"
mission,wotg,0,Cavernous_Maw,105,0.3,0,0,"Cavernous_Maw is not loaded here (0 entities, nearest none)"
mission,wotg,0,Cavernous_Maw,105,8.6,3,0,"Cavernous_Maw is not loaded here (3 entities, nearest Luck Rune)"
mission,wotg,0,Cavernous_Maw,105,16.9,3,0,"Cavernous_Maw is not loaded here (3 entities, nearest Luck Rune)"
mission,wotg,0,Cavernous_Maw,105,25.2,3,0,"Cavernous_Maw is not loaded here (3 entities, nearest Luck Rune)"
mission,wotg,0,Cavernous_Maw,105,33.6,3,0,"Cavernous_Maw is not loaded here (3 entities, nearest Luck Rune)"
